Station,code,construction,fermeture,latitude,ligne,ligne 1,mise en service 1,ligne 2,mise en service 2,ligne 3,mise en service 3,ligne 4,mise en service 4,ligne 5,mise en service 5,longitude,url,nom inaugural,station précédente 1,station suivante 1,station précédente 2,station suivante 2,station précédente 3,station suivante 3,station précédente 4,station suivante 4,station précédente 5,station suivante 5
Abbesses,3105,,,48.88441765,12,12,30 janvier 1913,,,,,,,,,2.338712812,https://fr.wikipedia.org/w/index.php?title=Abbesses_(m%C3%A9tro_de_Paris)&action=raw,,Lamarck - Caulaincourt (métro de Paris)|Lamarck - Caulaincourt,Pigalle (métro de Paris)|Pigalle,,,,,,,,
Alésia,15-05,,,48.82839851,4,4,30 octobre 1909,,,,,,,,,2.326745674,https://fr.wikipedia.org/w/index.php?title=Al%C3%A9sia_(m%C3%A9tro_de_Paris)&action=raw,,Mouton-Duvernet (métro de Paris)|Mouton-Duvernet,Porte d'Orléans (métro de Paris)|Porte d'Orléans,,,,,,,,
Alexandre Dumas,513,,,48.85617445,2,2,31 Janvier 1903,,,,,,,,,2.394989816,https://fr.wikipedia.org/w/index.php?title=Alexandre_Dumas_(m%C3%A9tro_de_Paris)&action=raw,Bagnolet,Philippe Auguste (métro de Paris)|Philippe Auguste,Avron (métro de Paris)|Avron,,,,,,,,
Alma - Marceau,18-03,,,48.864904,9,9,27 mai 1923,,,,,,,,,2.300234,https://fr.wikipedia.org/w/index.php?title=Alma_-_Marceau_(m%C3%A9tro_de_Paris)&action=raw,,Iéna (métro de Paris)|Iéna,Franklin D. Roosevelt (métro de Paris)|Franklin D. Roosevelt,,,,,,,,
Anatole France,2914,,,48.892022,3,3,24 septembre 1937,,,,,,,,,2.285536,https://fr.wikipedia.org/w/index.php?title=Anatole_France_(m%C3%A9tro_de_Paris)&action=raw,,Pont de Levallois - Bécon (métro de Paris)|Pont de Levallois - Bécon,Louise Michel (métro de Paris)|Louise Michel,,,,,,,,
Anvers,3104,,,48.88300713,2,2,7 octobre 1902,,,,,,,,,2.344848812,https://fr.wikipedia.org/w/index.php?title=Anvers_(m%C3%A9tro_de_Paris)&action=raw,,Pigalle (métro de Paris)|Pigalle,Barbès - Rochechouart (métro de Paris)|Barbès - Rochechouart,,,,,,,,
Argentine,1811,,,48.87553309,1,1,1 septembre 1900,,,,,,,,,2.289321664,https://fr.wikipedia.org/w/index.php?title=Argentine_(m%C3%A9tro_de_Paris)&action=raw,,Porte Maillot (métro de Paris)|Porte Maillot,Charles de Gaulle - Étoile (métro de Paris)|Charles de Gaulle - Étoile,,,,,,,,
Arts et Métiers,803,,,48.8655,"3, 11",3,19 octobre 1904,11,28 avril 1935,,,,,,,2.3561,https://fr.wikipedia.org/w/index.php?title=Arts_et_M%C3%A9tiers_(m%C3%A9tro_de_Paris)&action=raw,,Réaumur - Sébastopol (métro de Paris)|Réaumur - Sébastopol,Temple (métro de Paris)|Temple,Rambuteau (métro de Paris)|Rambuteau,République (métro de Paris)|République,,,,,,
Assemblée nationale,10-13,,,48.86065457,12,12,5 novembre 1910,,,,,,,,,2.321130037,https://fr.wikipedia.org/w/index.php?title=Assembl%C3%A9e_nationale_(m%C3%A9tro_de_Paris)&action=raw,Chambre des députés,Concorde (métro de Paris)|Concorde,Solférino (métro de Paris)|Solférino,,,,,,,,
Aubervilliers - Pantin - Quatre Chemins,03-05,,,48.90389694,7,7,4 octobre 1979,,,,,,,,,2.392495573,https://fr.wikipedia.org/w/index.php?title=Aubervilliers_-_Pantin_-_Quatre_Chemins_(m%C3%A9tro_de_Paris)&action=raw,,Fort d'Aubervilliers (métro de Paris)|Fort d'Aubervilliers,Porte de la Villette (métro de Paris)|Porte de la Villette,,,,,,,,
